model,run,idx,category,prompt,answer,ground_truth,correct,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_ms
o3-mini,1,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,yes,yes,1,592,783,768,1375,8296.0
o3-mini,1,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,206,192,501,2434.9
o3-mini,1,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,526,512,1114,5344.5
o3-mini,1,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,1038,1024,1381,9319.1
o3-mini,1,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,143,128,454,1667.9
o3-mini,1,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,no,yes,0,268,206,192,474,2591.0
o3-mini,1,15,SYMBOLIC_TIME,Identify delays in agent response.,yes,yes,1,282,335,320,617,3109.6
o3-mini,1,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,no,yes,0,359,399,384,758,4224.3
o3-mini,1,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,80,64,336,1483.8
o3-mini,1,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,78,64,469,1256.4
o3-mini,1,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,334,320,616,3466.8
o3-mini,1,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,209,192,495,2090.2
o3-mini,1,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,463,448,758,4877.5
o3-mini,1,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,142,128,381,1746.4
o3-mini,1,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,143,128,433,1741.9
o3-mini,1,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,15,0,330,629.6
o3-mini,1,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,398,384,636,3880.9
o3-mini,1,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,271,256,493,2554.1
o3-mini,1,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,78,64,422,1536.8
o3-mini,1,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,782,768,1296,7881.4
o3-mini,1,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,527,512,1132,4918.2
o3-mini,1,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,206,192,624,2870.1
o3-mini,1,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,no,yes,0,188,143,128,331,2144.9
o3-mini,1,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,no,yes,0,187,143,128,330,1535.4
o3-mini,1,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,271,256,509,3277.8
o3-mini,1,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,79,64,342,1804.2
o3-mini,1,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,207,192,610,2529.0
o3-mini,1,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,142,128,329,2054.0
o3-mini,1,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,79,64,268,1084.6
o3-mini,1,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,399,384,657,3890.4
o3-mini,1,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,79,64,296,1360.3
o3-mini,1,12,SYMBOLIC_TIME,Flag slow initial responses.,yes,yes,1,357,207,192,564,2429.5
o3-mini,1,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,15,0,403,1021.9
o3-mini,1,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,399,384,641,3482.0
o3-mini,1,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,334,320,927,2640.0
o3-mini,1,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,yes,no,0,308,206,192,514,2087.5
o3-mini,1,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,207,192,626,2335.4
o3-mini,1,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,271,256,536,2989.7
o3-mini,1,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,463,448,967,4141.9
o3-mini,1,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,143,128,330,11098.7
o3-mini,1,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,15,0,254,817.0
o3-mini,1,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,399,384,992,3994.0
o3-mini,1,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,143,128,363,1842.1
o3-mini,1,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,15,0,380,714.9
o3-mini,1,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,yes,no,0,130,336,320,466,3686.9
o3-mini,1,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,270,256,769,3175.3
o3-mini,1,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,15,0,305,918.4
o3-mini,1,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,14,0,203,726.7
o3-mini,1,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,143,128,354,1957.6
o3-mini,2,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,271,256,810,3378.0
o3-mini,2,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,no,yes,0,592,1038,1024,1630,8191.6
o3-mini,2,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,79,64,374,1330.6
o3-mini,2,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,590,576,1178,4734.7
o3-mini,2,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,no,yes,0,343,1422,1408,1765,11136.3
o3-mini,2,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,144,128,455,2054.0
o3-mini,2,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,no,yes,0,268,206,192,474,2248.3
o3-mini,2,15,SYMBOLIC_TIME,Identify delays in agent response.,yes,yes,1,282,398,384,680,3588.8
o3-mini,2,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,526,512,885,4191.5
o3-mini,2,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,15,0,271,716.5
o3-mini,2,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,79,64,470,1329.3
o3-mini,2,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,271,256,553,3171.8
o3-mini,2,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,334,320,620,3379.3
o3-mini,2,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,335,320,630,3276.7
o3-mini,2,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,143,128,382,2079.5
o3-mini,2,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,79,64,369,1096.7
o3-mini,2,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,15,0,330,818.7
o3-mini,2,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,143,128,381,1944.1
o3-mini,2,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,462,448,684,4490.2
o3-mini,2,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,206,192,550,1968.9
o3-mini,2,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,yes,yes,1,514,591,576,1105,5387.1
o3-mini,2,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,270,256,875,2608.0
o3-mini,2,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,206,192,624,2503.3
o3-mini,2,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,271,256,459,2802.1
o3-mini,2,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,334,320,521,3708.9
o3-mini,2,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,142,128,380,1830.6
o3-mini,2,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,15,0,278,1116.6
o3-mini,2,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,336,320,739,3012.6
o3-mini,2,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,79,64,266,1797.3
o3-mini,2,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,15,0,204,661.6
o3-mini,2,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,654,640,912,5770.5
o3-mini,2,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,142,128,359,1557.0
o3-mini,2,12,SYMBOLIC_TIME,Flag slow initial responses.,yes,yes,1,357,207,192,564,2361.1
o3-mini,2,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,15,0,403,811.2
o3-mini,2,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,143,128,385,1756.5
o3-mini,2,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,334,320,927,2850.3
o3-mini,2,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,yes,no,0,308,143,128,451,1466.3
o3-mini,2,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,207,192,626,2436.3
o3-mini,2,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,271,256,536,3807.9
o3-mini,2,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,334,320,838,3176.1
o3-mini,2,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,334,320,521,3437.1
o3-mini,2,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,15,0,254,1061.5
o3-mini,2,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,399,384,992,3453.7
o3-mini,2,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,79,64,299,989.0
o3-mini,2,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,79,64,444,1235.4
o3-mini,2,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,yes,no,0,130,142,128,272,2382.2
o3-mini,2,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,271,256,770,2276.4
o3-mini,2,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,206,192,496,2025.1
o3-mini,2,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,78,64,267,1141.3
o3-mini,2,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,144,128,355,1424.3
o3-mini,3,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,654,640,1193,5745.7
o3-mini,3,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,yes,yes,1,592,337,320,929,3069.7
o3-mini,3,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,78,64,373,1739.5
o3-mini,3,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,337,320,925,3129.5
o3-mini,3,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,974,960,1317,7827.3
o3-mini,3,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,142,128,453,1531.0
o3-mini,3,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,no,yes,0,268,270,256,538,2460.8
o3-mini,3,15,SYMBOLIC_TIME,Identify delays in agent response.,yes,yes,1,282,399,384,681,3995.6
o3-mini,3,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,no,yes,0,359,271,256,630,2867.2
o3-mini,3,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,79,64,335,1112.9
o3-mini,3,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,15,0,406,1137.2
o3-mini,3,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,463,448,745,3767.7
o3-mini,3,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,399,384,685,3687.8
o3-mini,3,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,526,512,821,4591.3
o3-mini,3,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,144,128,383,1776.9
o3-mini,3,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,79,64,369,1280.8
o3-mini,3,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,15,0,330,479.2
o3-mini,3,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,335,320,573,3163.2
o3-mini,3,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,207,192,429,2447.6
o3-mini,3,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,142,128,486,1740.3
o3-mini,3,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,398,384,912,3778.3
o3-mini,3,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,334,320,939,3182.8
o3-mini,3,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,398,384,816,4302.4
o3-mini,3,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,no,yes,0,188,335,320,523,3332.6
o3-mini,3,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,590,576,777,5269.3
o3-mini,3,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,206,192,444,2695.1
o3-mini,3,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,79,64,342,1603.6
o3-mini,3,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,334,320,737,3194.4
o3-mini,3,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,143,128,330,1532.2
o3-mini,3,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,15,0,204,691.5
o3-mini,3,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,142,128,400,1850.1
o3-mini,3,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,207,192,424,1915.2
o3-mini,3,12,SYMBOLIC_TIME,Flag slow initial responses.,yes,yes,1,357,209,192,566,2062.2
o3-mini,3,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,14,0,402,1039.9
o3-mini,3,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,527,512,769,4779.2
o3-mini,3,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,270,256,863,2860.0
o3-mini,3,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,yes,no,0,308,143,128,451,1935.8
o3-mini,3,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,465,448,884,4131.6
o3-mini,3,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,143,128,408,2519.0
o3-mini,3,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,654,640,1158,5991.0
o3-mini,3,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,78,64,265,1999.4
o3-mini,3,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,15,0,254,1382.9
o3-mini,3,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,590,576,1183,4703.0
o3-mini,3,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,15,0,235,1128.9
o3-mini,3,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,78,64,443,1844.0
o3-mini,3,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,yes,no,0,130,271,256,401,2762.6
o3-mini,3,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,399,384,898,4625.1
o3-mini,3,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,79,64,369,1314.4
o3-mini,3,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,15,0,204,1712.9
o3-mini,3,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,207,192,418,2301.9
o3-mini,4,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,334,320,873,4673.6
o3-mini,4,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,no,yes,0,592,590,576,1182,6070.2
o3-mini,4,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,78,64,373,2047.6
o3-mini,4,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,463,448,1051,5634.2
o3-mini,4,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,no,yes,0,343,1358,1344,1701,12694.8
o3-mini,4,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,206,192,517,3994.2
o3-mini,4,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,no,yes,0,268,590,576,858,5527.7
o3-mini,4,15,SYMBOLIC_TIME,Identify delays in agent response.,yes,yes,1,282,335,320,617,4847.3
o3-mini,4,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,721,704,1080,6066.0
o3-mini,4,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,15,0,271,795.4
o3-mini,4,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,79,64,470,2514.0
o3-mini,4,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,334,320,616,4720.1
o3-mini,4,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,206,192,492,3479.0
o3-mini,4,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,143,128,438,1946.0
o3-mini,4,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,143,128,382,1842.5
o3-mini,4,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,15,0,305,1127.9
o3-mini,4,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,15,0,330,812.5
o3-mini,4,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,340,320,578,4714.5
o3-mini,4,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,no,yes,0,222,79,64,301,2559.4
o3-mini,4,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,143,128,487,1971.9
o3-mini,4,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,yes,yes,1,514,846,832,1360,8475.2
o3-mini,4,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,335,320,940,4771.4
o3-mini,4,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,270,256,688,4849.6
o3-mini,4,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,270,256,458,2866.9
o3-mini,4,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,270,256,457,4301.5
o3-mini,4,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,271,256,509,2969.4
o3-mini,4,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,15,0,278,2149.8
o3-mini,4,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,206,192,609,3755.6
o3-mini,4,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,143,128,330,3511.9
o3-mini,4,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,15,0,204,1257.4
o3-mini,4,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,334,320,592,4474.9
