prompt,category,subcategory,true_params,extracted_params,extracted_any,match_threshold,match_unit,match_subtype,match_value,correct
Was the time to first response shorter than 19 hrs?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 19, ""unit"": ""hrs""}","{""threshold"": 19.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Did the thread contain at least 50 messages?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 50}","{""threshold"": 50}",True,True,True,True,True,True
Did the reply come promptly?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 3, ""unit"": ""sec""}",,False,False,False,False,False,False
Assess first-reply promptness.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 22, ""unit"": ""min""}",,False,False,False,False,False,False
Was the handling efficient?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 2}",,False,False,False,False,False,False
Watch for reply times over 3 hrs.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 3, ""unit"": ""hrs""}","{""threshold"": 3.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Did teh total number of messages go above 5?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 5}","{""threshold"": 5}",True,True,True,True,True,True
Was the conversation concise?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 6}",,False,False,False,False,False,False
Validate that the agent responded inside 19 seconds.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 19, ""unit"": ""seconds""}","{""threshold"": 19.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Catalog threads over 4 exchanges long.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 4}","{""threshold"": 4}",True,True,True,True,True,True
Was there an unreasonable delay before the first response,SYMBOLIC_TIME,time_implicit,"{""threshold"": 60, ""unit"": ""min""}",,False,False,False,False,False,False
Was the total interaction under 8 back-and-forths?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 8}","{""threshold"": 8}",True,True,True,True,True,True
Flag tardy agent replies.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 17, ""unit"": ""hrs""}",,False,False,False,False,False,False
Track if the turnaround time surpassed 5 seconds.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 5, ""unit"": ""seconds""}","{""threshold"": 5.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Confirm 'pending' is present.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""pending""}","{""subtype"": ""tag"", ""value"": ""pending""}",True,True,True,True,True,True
Inspect the thread for more than 7 exchanges.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 7}","{""threshold"": 7}",True,True,True,True,True,True
Was 2 messages enough or did it go longer?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 2}","{""threshold"": 2}",True,True,True,True,True,True
Ascertain whether 12 minutes was exceeded.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 12, ""unit"": ""minutes""}","{""threshold"": 12.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Is the 'retention' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""retention""}","{""subtype"": ""tag"", ""value"": ""retention""}",True,True,True,True,True,True
Identify if source was whatsapp.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
Did the agent resolve it efficiently?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 2}",,False,False,False,False,False,False
Was the conversation longer than 7 exchanges?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 7}","{""threshold"": 7}",True,True,True,True,True,True
Measure if the total messages crossed 13.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
Were 13 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
Was rhis a quick resolution?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 7}",,False,False,False,False,False,False
Was the delay between customer message and agent reply under 25 sec?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 25, ""unit"": ""sec""}","{""threshold"": 25.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Check if more than 14 turns occurred.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 14}","{""threshold"": 14}",True,True,True,True,True,True
Was there an answer from the agent within 15 seconds?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 15, ""unit"": ""seconds""}","{""threshold"": 15.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Monitor for verbose interactions.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 16}",,False,False,False,False,False,False
Check if tagged as 'follow-up'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""follow-up""}","{""subtype"": ""tag"", ""value"": ""follow-up""}",True,True,True,True,True,True
Is this a SMS ticket??,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""SMS""}","{""subtype"": ""channel"", ""value"": ""sms""}",True,True,True,True,True,True
inspect the thread for more than 11 exchanges...,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 11}","{""threshold"": 11}",True,True,True,True,True,True
Determine if first response exceeded 9 seconds.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 9, ""unit"": ""seconds""}","{""threshold"": 9.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Identify if source was twitter.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""twitter""}","{""subtype"": ""channel"", ""value"": ""twitter""}",True,True,True,True,True,True
Was the turn count greater than 5?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 5}","{""threshold"": 5}",True,True,True,True,True,True
Note interactions requiring more than 19 turns.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 19}","{""threshold"": 19}",True,True,True,True,True,True
Track conversation efficiency patterns.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 19}",,False,False,False,False,False,False
Was the exchange completed within 14 messages?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 14}","{""threshold"": 14}",True,True,True,True,True,True
Did the team member get back within 17 minutes?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 17, ""unit"": ""minutes""}","{""threshold"": 17.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the channel SMS?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""SMS""}","{""subtype"": ""channel"", ""value"": ""sms""}",True,True,True,True,True,True
Highlight conversations running past 50 turns.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 50}","{""threshold"": 50}",True,True,True,True,True,True
Was the back-and-forth minimal?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 19}",,False,False,False,False,False,False
Examine if the response was sent before the 26 hours limit.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 26, ""unit"": ""hours""}","{""threshold"": 26.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the time to first response shorter than 12 minutes?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 12, ""unit"": ""minutes""}","{""threshold"": 12.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Check if the reply came within 7 hrs.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 7, ""unit"": ""hrs""}","{""threshold"": 7.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Record whether the customer waited beyond 4 minutes.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 4, ""unit"": ""minutes""}","{""threshold"": 4.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Watch for reply times over 120 hours.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 120, ""unit"": ""hours""}","{""threshold"": 120.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Detect if 'sensitive' label exists.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""sensitive""}","{""subtype"": ""tag"", ""value"": ""sensitive""}",True,True,True,True,True,True
Identify if source was SMS.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""SMS""}","{""subtype"": ""channel"", ""value"": ""sms""}",True,True,True,True,True,True
Check if more than 16 turns occurred.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Verify internal notes exist.,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Confirm 'spam' is present.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""spam""}","{""subtype"": ""tag"", ""value"": ""spam""}",True,True,True,True,True,True
Check if tagged as 'complaint'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""complaint""}","{""subtype"": ""tag"", ""value"": ""complaint""}",True,True,True,True,True,True
Identify threads where 16 exchanges were not enough.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Was the reply timely?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 21, ""unit"": ""min""}",,False,False,False,False,False,False
Was the query addressed within 90 sec?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 90, ""unit"": ""sec""}","{""threshold"": 90.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the exchange brief or extended?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 13}",,False,False,False,False,False,False
Did the interaction go on longer than needed?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 4}",,False,False,False,False,False,False
Did it go over 17 exchanges before reaching resolution?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 17}","{""threshold"": 17}",True,True,True,True,True,True
Is this from email?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Did the agent meet the 2 hours response target?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 2, ""unit"": ""hours""}","{""threshold"": 2.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Did the agnet write more than 13 responses?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
Was this submitted via whatsapp?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
Flag if the conversation exceeded 10 messages.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 10}","{""threshold"": 10}",True,True,True,True,True,True
Identify threads where 9 exchanges were not enough.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 9}","{""threshold"": 9}",True,True,True,True,True,True
Detect excessive wait before first reply.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 3, ""unit"": ""min""}",,False,False,False,False,False,False
Is 'onboarding' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""onboarding""}","{""subtype"": ""tag"", ""value"": ""onboarding""}",True,True,True,True,True,True
Were there fewer than 3 messages?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 3}","{""threshold"": 3}",True,True,True,True,True,True
Did they get back to the customer within 60 seconds??,SYMBOLIC_TIME,time_moderate,"{""threshold"": 60, ""unit"": ""seconds""}","{""threshold"": 60.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Watch for turn counts above 16.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Evaluate if resolved within 16 turns.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Is the 'sensitive' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""sensitive""}","{""subtype"": ""tag"", ""value"": ""sensitive""}",True,True,True,True,True,True
Flag tickets marked 'feature-request'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""feature-request""}","{""subtype"": ""tag"", ""value"": ""feature-request""}",True,True,True,True,True,True
Record cases where more than 5 replies were needed.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 5}","{""threshold"": 5}",True,True,True,True,True,True
Was the issue resolved without unnecessary exchanges?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 3}",,False,False,False,False,False,False
Confirm 'duplicate' is present.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""duplicate""}","{""subtype"": ""tag"", ""value"": ""duplicate""}",True,True,True,True,True,True
Was 30 messages enough or did it go longer?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 30}","{""threshold"": 30}",True,True,True,True,True,True
Is 'feature-request' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""feature-request""}","{""subtype"": ""tag"", ""value"": ""feature-request""}",True,True,True,True,True,True
Audit the response against the 22 sec standard.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 22, ""unit"": ""sec""}","{""threshold"": 22.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Is the 'escalated' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""escalated""}","{""subtype"": ""tag"", ""value"": ""escalated""}",True,True,True,True,True,True
Were 9 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 9}","{""threshold"": 9}",True,True,True,True,True,True
Flag tickets marked 'technical'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""technical""}","{""subtype"": ""tag"", ""value"": ""technical""}",True,True,True,True,True,True
assess whether the turn count exceeded 18.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 18}","{""threshold"": 18}",True,True,True,True,True,True
Was the turn count greater than 3?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 3}","{""threshold"": 3}",True,True,True,True,True,True
Did the team member get back within 28 hours?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 28, ""unit"": ""hours""}","{""threshold"": 28.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Detect if 'legal' label exists.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""legal""}","{""subtype"": ""tag"", ""value"": ""legal""}",True,True,True,True,True,True
Is this from whatsapp?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
Report whether the 12 sec window was breached.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 12, ""unit"": ""sec""}","{""threshold"": 12.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Filter for web form tickets.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""web form""}",,False,False,False,False,False,False
Did the agent respond fast enough?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 2, ""unit"": ""minutes""}",,False,False,False,False,False,False
Were there fewer than 10 messages?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 10}","{""threshold"": 10}",True,True,True,True,True,True
Spot threads that took over 12 replies.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 12}","{""threshold"": 12}",True,True,True,True,True,True
Identify quick resolutions.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 13}",,False,False,False,False,False,False
Is this marked as 'feature-request'?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""feature-request""}","{""subtype"": ""tag"", ""value"": ""feature-request""}",True,True,True,True,True,True
Was the first contact from the agent made within 180 sec?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 180, ""unit"": ""sec""}","{""threshold"": 180.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Verify this came via social media.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""social media""}",,False,False,False,False,False,False
