prompt,category,subcategory,style,noise,params,top_category
Verify 'billing' tickets received appropriate urgency...,HYBRID,hybrid,instruction,light,,HYBRID
Did the agent reply in a timely manner?,SYMBOLIC_TIME,time_implicit,question,none,"{""threshold"": 12, ""unit"": ""hrs""}",SYMBOLIC_TIME
Did the representative respond in less than 120 minutes?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 120, ""unit"": ""minutes""}",SYMBOLIC_TIME
"Detect whether the agent’s first response included acknowledgment of the defective product and prior interaction, before step-by-step next actions.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
"If the customer reports the defect again in follow-up, did the agent adjust guidance and outline next steps, or keep sending generic scripts?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
"If the ticket is marked 'vip', was it handled with appropriate urgency?",HYBRID,hybrid,question,light,,HYBRID
"When internal notes confirm service restoration, did the agent close by inviting the customer to verify and offering further help if issues persist?",HYBRID,llm_generated,question,light,,HYBRID
Did the passenger’s account show any prior goodwill credits before this incident?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
"When the return required follow-up and still resolved within 72 hours, assess whether the agent understood what the customer needed next and did not misinterpret the request.",HYBRID,llm_generated,instruction,light,,HYBRID
Was a reply provided within 16 min of the initial message?,SYMBOLIC_TIME,time_explicit,question,light,"{""threshold"": 16, ""unit"": ""min""}",SYMBOLIC_TIME
"Determine if the agent’s first message included an intro + acknowledgment, no extra fluff.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
Were behind-the-scenes notes added?,SYMBOLIC_METADATA,meta_notes,question,none,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
Cross-reference this purchase issue with the app data.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Did it take more than 12 exchanges to resolve?,SYMBOLIC_COUNT,count_moderate,question,medium,"{""threshold"": 12}",SYMBOLIC_COUNT
Spot unreasonable response delays.,SYMBOLIC_TIME,time_implicit,instruction,none,"{""threshold"": 45, ""unit"": ""hours""}",SYMBOLIC_TIME
Did the agent provide a proper finish even though the issue was shipping delay?,SEMANTIC_CLOSING,llm_generated,question,light,,SEMANTIC
evaluate both response speed (5 minute threshold) and helpfulness.,HYBRID,hybrid,instruction,heavy,,HYBRID
Detect whether the agent offered further help once the resolution was provided for the data-breach notice.,SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
How many times has this customer had support ticket issues in previous tickets?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Can we verify the customer's subscription tier against Salesforce?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Did the conversation drag on unnecessarily,SYMBOLIC_COUNT,count_implicit,question,heavy,"{""threshold"": 25}",SYMBOLIC_COUNT
Did the agent start the convo by recognizing customer frustration and listening before escalation talk?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"For cancellation chats with a wait time under 3 minutes, assess whether the agent still showed empathy rather than sounding rushed",HYBRID,llm_generated,instruction,light,,HYBRID
Was the message count above 2?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 2}",SYMBOLIC_COUNT
Was the 300 sec response window honored?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 300, ""unit"": ""sec""}",SYMBOLIC_TIME
"Assess if the agent’s patience showed in how they handled repeats, while keeping the escalation intent accurate.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Were 10+ messages exchanged in this conversation?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 10}",SYMBOLIC_COUNT
Calculate the impact of this conversation on billing over 30 days.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Does the ticket have the 'urgent' label?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""urgent""}",SYMBOLIC_METADATA
"For conversations exceeding 10 turns, was quality maintained throughout?",HYBRID,hybrid,question,light,,HYBRID
"If tagged 'legal' and over 5 turns, was urgency maintained?",HYBRID,hybrid,question,medium,,HYBRID
"For chat conversations, was the opening appropriate for the channel...",HYBRID,hybrid,question,medium,,HYBRID
Check for internal comments.,SYMBOLIC_METADATA,meta_notes,instruction,light,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
Did the agent keep language respectful while confirming the breach-related resolution?,SEMANTIC_TONE,llm_generated,question,light,,SEMANTIC
Did this customer have unresolved refund problems in the last 2 tickets?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"Ensure teh agent’s greeting reflects the customer’s situation with delayed delivery in an absolute, unambiguous way.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Check if the customer’s trial converted to a paid subscription after this chat.,UNSUPPORTED,llm_generated,instruction,medium,,UNSUPPORTED
Confirm 'retention' is present.,SYMBOLIC_METADATA,meta_tag,instruction,light,"{""subtype"": ""tag"", ""value"": ""retention""}",SYMBOLIC_METADATA
Did the agent acknowledge shipping delay then verify they got it right?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
"Determine whether the agent’s final message included actionable steps (password reset, monitoring, account review) rather than vague reassurance.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Detect if the first response shows the agent checked they understood the delay details.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Was the channel email?,SYMBOLIC_METADATA,meta_channel,question,none,"{""subtype"": ""channel"", ""value"": ""email""}",SYMBOLIC_METADATA
Did agent explain next steps xobditional on warranty status (in or out)?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
Did the agent need more than 4 attempts to address this?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 4}",SYMBOLIC_COUNT
"Check if agent ended the interaction well, offered further assistance, and confirmed resolution.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Verify ticket has 'high-priority' status.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""high-priority""}",SYMBOLIC_METADATA
"If the conversation exceeded 6 turns on chat, assess whether the agent summarized the billing dispute details to confirm understanding before proposing a solution.",HYBRID,llm_generated,instruction,medium,,HYBRID
Spot instances where the agent exceeded 30 min.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 30, ""unit"": ""min""}",SYMBOLIC_TIME
Report whether the 22 minutes window was breached.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 22, ""unit"": ""minutes""}",SYMBOLIC_TIME
Did the agent clearly state their name/role at the start and acknowledge the customer before discussing cancellation?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Did the agent kick off the resolution with a clear acknowledgment of the data breach notice and take ownership right away?,SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
"If there is a 10+ minute gap between agent replies during a cancellation chat, did the agent apologize or respond in a polite, professional way afterward?",HYBRID,llm_generated,question,heavy,,HYBRID
Is the 'pending' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""pending""}",SYMBOLIC_METADATA
Verify that web form best practices were followed.,HYBRID,hybrid,instruction,none,,HYBRID
Was the response time reasonable?,SYMBOLIC_TIME,time_implicit,question,none,"{""threshold"": 19, ""unit"": ""sec""}",SYMBOLIC_TIME
Did the support rep answer within the 90 sec window...,SYMBOLIC_TIME,time_explicit,question,medium,"{""threshold"": 90, ""unit"": ""sec""}",SYMBOLIC_TIME
Check the customer's complete support ticket record from ERP.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Did the agent provide specific next steps for escalation in outage?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
did the customer contact support again about the same transaction afterward...,UNSUPPORTED,llm_generated,instruction,heavy,,UNSUPPORTED
Did agent acknowledge the disruption and proceed with escalation politely?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
"Determine whether the agent acknowledges the customer’s disappointment about the defective item and provides a clear, step-by-step plan for what will happen next, including who does what and expected timeframes.",SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
"Check whether the agent mirrored the urgency without escalating, given the delay and early troubleshooting stage.",SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
"For conversations exceeding 60 turns, was quality maintained throughout?",HYBRID,hybrid,question,none,,HYBRID
Was the chat response both timely and genuinely helpful?,HYBRID,hybrid,question,medium,,HYBRID
Is this an 'bug' case?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""bug""}",SYMBOLIC_METADATA
"Detect whether agent recognized the core ask: refund, not “how to use product,” and responded accordingly.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Did the agent confirm the right product model/variant before giving next steps?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Detect whether agent validated feelings but still captured the actual issue (delay specifics).,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Calculate the impact of this conversation on support ticket over quarter.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Forecast the customer's subscription trend over the next 30 days.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
"Evaluate whether the agent’s resolution delivery felt reassuring and accountable throughout: they recognize the breach impact, avoid accusatory language, apologize when needed, and keep responses steady even if the customer is angry.",SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Agent said sorry—did they do anything about billing error though?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
Are there internal notes in this conversation?,SYMBOLIC_METADATA,meta_notes,question,none,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
"If the refund request came in early, did the agent keep the chat welcoming?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
"On whatsapp, did the agent follow the expected etiquette?",HYBRID,hybrid,question,none,,HYBRID
Detect whether agent recognized urgency in breach notification and did not treat it as routine login issue.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"If the passenger was upset, did the agent acknowledge that AND present realistic options (rebooking, standby, refund eligibility) based on the delay?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Detect whether the agent sounded irritated when the customer complained about the delayed flight.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Did the agent confirm the customer’s issue was a shipping delay?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Did the customer’s monthly recurring revenue change after the interaction?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
"Review the opening lines: did agent clearly state they can help, and acknowledge the inconvenience of the delayed flight?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Detect whether the agent began with a clear acknowledgment of the customer’s situation (defect + prior contact) before offering next steps.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Did the agent provide a final confirmation of escalation in the outage scenario?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Verify that chat best practices were followed.,HYBRID,hybrid,instruction,none,,HYBRID
Is this a twitter conversation?,SYMBOLIC_METADATA,meta_channel,question,none,"{""subtype"": ""channel"", ""value"": ""twitter""}",SYMBOLIC_METADATA
Detect if the agent concluded without acknowledging the escalation request.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Any private comments added?,SYMBOLIC_METADATA,meta_notes,question,none,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
Check whether the customer later reported the refund still missing after the promised timeline.,UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
Is this customer's payment method available from Stripe?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Can we verify the customer's payment method against Stripe?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Is this a phone ticket?,SYMBOLIC_METADATA,meta_channel,question,none,"{""subtype"": ""channel"", ""value"": ""phone""}",SYMBOLIC_METADATA
Has this been flagged as 'legal'?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""legal""}",SYMBOLIC_METADATA
"Did agent pick up that customer wants money back, then troubleshoot only what’s needed before processing?",SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
"Detect whether the agent, while apologizing in closing, took concrete steps to address the wrong item instead of generic scripted talk.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Detect if agent added private notes.,SYMBOLIC_METADATA,meta_notes,instruction,light,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
Flag cases with delayed first contact.,SYMBOLIC_TIME,time_implicit,instruction,none,"{""threshold"": 2, ""unit"": ""min""}",SYMBOLIC_TIME
"Did agent address what customer asked for, not what agent assumed? (refund vs fix)",SEMANTIC_COMPREHENSION,llm_generated,question,medium,,SEMANTIC
"If tagged 'billing' and over 3 turns, was urgency maintained?",HYBRID,hybrid,question,none,,HYBRID
"evaluate if the agent handled an escalation request during a service outage with patience and accurate issue framing, ensuring they didn’t steer the customer into unrelated troubleshooting, mislabel the outage as a local equipment problem, or ignore the request for a higher-tier review.",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
"Chexk whether agent mase spacw for customer yp explain how outage affected yhem, then confirmed details and hamdled rscakation request patiently without getting drfensuve or cuer.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
"Check if agent said sorry + recognized hassle, and then laid out next steps.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
"If customer is seeking refund, confirm agent doesn’t push troubleshooting unrelated to eligibility and timelines.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"If the customer is anxious about missing connections due to delay, did the agent acknowledge that worry early on?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"If customer complained about being locked out, did agent acknowledge it and then provide reset steps in that order?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Detect sluggish response patterns.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 18, ""unit"": ""min""}",SYMBOLIC_TIME
Detect if the greeting skipped apology for billing error (should not happen).,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Did the agent restate the problem in their own words before suggesting troubleshooting for the refund?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Was there more than a 27 hrs gap before the response?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 27, ""unit"": ""hrs""}",SYMBOLIC_TIME
Detect whether the agent finished the chat appropriately after apologizing.,SEMANTIC_CLOSING,llm_generated,instruction,medium,,SEMANTIC
is the 'complaint' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""complaint""}",SYMBOLIC_METADATA
Verify 'complaint' tickets received appropriate urgency.,HYBRID,hybrid,instruction,none,,HYBRID
"Did the agent immediately apologize for the billing error, even before asking questions?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Determine whether the agent owned the issue and provided a tailored path forward instead of transferring responsibility elsewhere.,SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
"For conversations exceeding 30 turns, was quality maintained throughout?",HYBRID,hybrid,question,none,,HYBRID
Detect quality degradation in conversations exceeding 60 turns.,HYBRID,hybrid,instruction,none,,HYBRID
How many times has this customer had return issues in previous tickets?,UNSUPPORTED,unsupported,question,medium,,UNSUPPORTED
Flag slow initial responses.,SYMBOLIC_TIME,time_implicit,instruction,medium,"{""threshold"": 26, ""unit"": ""hrs""}",SYMBOLIC_TIME
Compare this agent's handling against  custoemr's pattern in the app.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Detect email conversations.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""email""}",SYMBOLIC_METADATA
"If customer mentioned multiple defects, did agent address the main one driving the follow-up request?",SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
"Assess if agent gave concrete next steps for late shipping, not boilerplate.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Check if the agent apologized when response exceeded 3 minutes.,HYBRID,hybrid,instruction,none,,HYBRID
Was the turn count greater than 10?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 10}",SYMBOLIC_COUNT
Did the agent explain the next steps in a way that fit the situation (defective item) during follow-up?,SEMANTIC_TONE,llm_generated,question,medium,,SEMANTIC
"Did the rep verify you understood the shipping delay info, then conclude appropriately?",SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Verify that twitter best practices were followed.,HYBRID,hybrid,instruction,none,,HYBRID
"if the chat reached 10+ turns, did the agent remain calm and professional while discussing account security?",HYBRID,llm_generated,question,medium,,HYBRID
Determine whether the agent’s empathy was followed by meaningful actions like checking availability or suggesting alternatives for a delayed flight.,SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Was the initial response to the customer sent within 18 min?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 18, ""unit"": ""min""}",SYMBOLIC_TIME
Was the message count above 11?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 11}",SYMBOLIC_COUNT
did the agent take too long to respond?,SYMBOLIC_TIME,time_implicit,question,heavy,"{""threshold"": 120, ""unit"": ""minutes""}",SYMBOLIC_TIME
"If the conversation took more than 3 exchanges, did the agent remain patient?",HYBRID,hybrid,question,none,,HYBRID
"If this came via email, was the communication style suitable?",HYBRID,hybrid,question,medium,,HYBRID
Evaluate response timeliness.,SYMBOLIC_TIME,time_implicit,instruction,none,"{""threshold"": 15, ""unit"": ""hrs""}",SYMBOLIC_TIME
Did the agent begin by stating who they are and recognizing the customer’s defective product concern?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"If the conversation took more than 15 exchanges, did the agent remain patient...",HYBRID,hybrid,question,medium,,HYBRID
"When the case took more than 3 days to resolve, assess whether the agent demonstrated clear understanding of the upgrade constraints and goals.",HYBRID,llm_generated,instruction,light,,HYBRID
"If the customer mentioned 'wrong item shipped' on chat, did the agent acknowledge the inconvenience and propose an appropriate return or exchange?",HYBRID,llm_generated,question,medium,,HYBRID
Count the number of agent responses and compare to 15.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 15}",SYMBOLIC_COUNT
Confirm the agent didn’t misread the customer’s urgency during outage and delay escalation incorrectly.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Identify 'pending' cases.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""pending""}",SYMBOLIC_METADATA
Will this customer leave negative feedback in the next 30 days?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Did the agent open the resolutiin delivery by saying whp they aee and that they’ll handle yhw breach-related issue?,SEMANTIC_GREETING,llm_generated,question,heavy,,SEMANTIC
Is 'vip' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""vip""}",SYMBOLIC_METADATA
Did the agent make the customer feel heard about the delay before asking for booking details?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Confirm that the very first agent reply contains an apology tied to the billing error (not a generic “sorry”).,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Pull the customer's subscription tier from social media before evaluating.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Monitor whether the 27 minutes benchmark was hit.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 27, ""unit"": ""minutes""}",SYMBOLIC_TIME
"For phone calls where the customer mentions a “wrong amount” at least once, evaluate whether the agent asked the right clarifying questions to diagnose the discrepancy.",HYBRID,llm_generated,instruction,none,,HYBRID
Note if the response gap was wider than 9 min.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 9, ""unit"": ""min""}",SYMBOLIC_TIME
Assess if agent ended interaction too abruptly or provided a courteous finish with next steps and help offer.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Check whether agent treated the data breach notification as the core issue and didn’t pivot to unrelated troubleshooting.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Filter for whatsapp tickets.,SYMBOLIC_METADATA,meta_channel,instruction,light,"{""subtype"": ""channel"", ""value"": ""whatsapp""}",SYMBOLIC_METADATA
Assess based on the customer's billing records in social media.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"When the customer asked for a refund due to late delivery and the agent replied within 5 minutes, assess whether the agent empathized before discussing policy.",HYBRID,llm_generated,instruction,none,,HYBRID
Was 3 messages enough or did it go longer?,SYMBOLIC_COUNT,count_moderate,question,light,"{""threshold"": 3}",SYMBOLIC_COUNT
"for phone calls where the hold time was over 5 minutes, assess whether the agent re-established trust and apologized in a genuine way while handling the return...",HYBRID,llm_generated,instruction,heavy,,HYBRID
"Check if, during resolution delivery, the agent took responsibility instead of blaming other teams.",SEMANTIC_TONE,llm_generated,instruction,medium,,SEMANTIC
Check if tagged as 'retention',SYMBOLIC_METADATA,meta_tag,instruction,medium,"{""subtype"": ""tag"", ""value"": ""retention""}",SYMBOLIC_METADATA
Spot threads that took over 9 replies.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 9}",SYMBOLIC_COUNT
"Check for personalization + next steps + offer more help at the finish of interaction, especially after initial troubleshooting on refund.",SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Determine if agent validated the customer’s outage experience before escalating.,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
"Determine if the agent’s response was specific to an account locked scenario, in absolute terms.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Is this a repeat escalation complaint from the same customer?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Evaluate based on the customer's past subscription interactions across 10 tickets.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Identify 'refund' cases.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""refund""}",SYMBOLIC_METADATA
Was the response time longer or shorter than 29 min?,SYMBOLIC_TIME,time_moderate,question,light,"{""threshold"": 29, ""unit"": ""min""}",SYMBOLIC_TIME
Check if the guest’s account shows any loyalty points adjustment tied to this case.,UNSUPPORTED,llm_generated,instruction,medium,,UNSUPPORTED
