prompt,category,conversation_json,conversation_idx,ground_truth,ground_truth_source,scenario,params,actual_response_time_min,actual_count
pinpoint responses that came after 21 sec.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to product returns but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your product returns situation."", ""timestamp"": ""2025-01-15 10:00:19.950000"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 10:01:10.950000"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:02:53.400635"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding product returns."", ""timestamp"": ""2025-01-15 10:07:36.048893"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:12:35.631592"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 10:13:25.411987"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""escalated""], ""channel"": ""phone"", ""resolution_time_minutes"": 13.4}",17,no,deterministic,boundary,"{""threshold"": 21, ""unit"": ""sec"", ""operator"": "">""}",0.33,
Measure whether the first response took less than 120 hours.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to password reset but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on password reset."", ""timestamp"": ""2025-01-17 22:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-17 22:04:15.111138"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""The password reset issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-17 22:06:06.790767"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-17 22:06:38.903006"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""technical""], ""channel"": ""chat"", ""resolution_time_minutes"": 3606.6}",18,yes,deterministic,clear_yes,"{""threshold"": 120, ""unit"": ""hours"", ""operator"": ""<=""}",3600.0,
Was the customer's message acknowledged w/in 18 min?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 a shipping delay hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I understand, let me look into a shipping delay for you."", ""timestamp"": ""2025-01-15 10:36:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 10:36:16"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:37:11.970936"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the a shipping delay settings."", ""timestamp"": ""2025-01-15 10:40:25.274989"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 10:40:50.274989"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:43:11.735435"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding a shipping delay."", ""timestamp"": ""2025-01-15 10:47:46.176288"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 10:48:04.176288"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:48:28.079714"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:52:26.281904"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 10:52:45.281904"", ""is_public"": false, ""channel"": ""phone""}], ""tags"": [], ""channel"": ""phone"", ""resolution_time_minutes"": 52.4}",19,no,deterministic,clear_no,"{""threshold"": 18, ""unit"": ""min"", ""operator"": ""<=""}",36.0,
Was the agent's first message within 22 minutes of the query?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Hi, I need help with product returns."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on product returns."", ""timestamp"": ""2025-01-15 10:44:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Checked logs \u2014 issue is on our backend."", ""timestamp"": ""2025-01-15 10:44:24"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:48:10.478384"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the product returns issue."", ""timestamp"": ""2025-01-15 10:50:14.886159"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Checked logs \u2014 issue is on our backend."", ""timestamp"": ""2025-01-15 10:50:40.886159"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:52:32.471973"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [], ""channel"": ""phone"", ""resolution_time_minutes"": 52.5}",22,no,deterministic,clear_no,"{""threshold"": 22, ""unit"": ""minutes"", ""operator"": ""<=""}",44.0,
Did the reply arrive before the 90 sec mark?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 data export hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on data export."", ""timestamp"": ""2025-01-15 10:01:25.500000"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:04:23.443048"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the data export issue."", ""timestamp"": ""2025-01-15 10:06:15.489284"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:08:41.559084"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""feature_request""], ""channel"": ""email"", ""resolution_time_minutes"": 8.7}",26,yes,deterministic,boundary,"{""threshold"": 90, ""unit"": ""sec"", ""operator"": ""<=""}",1.43,
Determine if first response exceeded 14 minutes.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: service outage is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Let me review your service outage situation."", ""timestamp"": ""2025-01-15 10:28:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Checked logs \u2014 issue is on our backend."", ""timestamp"": ""2025-01-15 10:28:46"", ""is_public"": false, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:31:43.953397"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 10:34:27.435233"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Customer seems frustrated. Priority handling."", ""timestamp"": ""2025-01-15 10:34:54.435233"", ""is_public"": false, ""channel"": ""email""}], ""tags"": [], ""channel"": ""email"", ""resolution_time_minutes"": 34.5}",28,yes,deterministic,clear_no,"{""threshold"": 14, ""unit"": ""minutes"", ""operator"": "">""}",28.0,
Was the first contact from the agent made within 180 sec?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Quick question about order cancellation."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I see the issue with order cancellation. Here's what I can do."", ""timestamp"": ""2025-01-15 10:06:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:06:51.755968"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the order cancellation issue."", ""timestamp"": ""2025-01-15 10:08:24.196568"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:12:04.929736"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:14:26.944068"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""escalated""], ""channel"": ""phone"", ""resolution_time_minutes"": 14.4}",31,no,deterministic,clear_no,"{""threshold"": 180, ""unit"": ""sec"", ""operator"": ""<=""}",6.0,
Was the time to first response shorter than 19 hrs?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Hi, I need help with product returns."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I see the issue with product returns. Here's what I can do."", ""timestamp"": ""2025-01-16 04:03:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-16 04:05:12.702878"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the product returns settings."", ""timestamp"": ""2025-01-16 04:09:57.243126"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-16 04:13:50.681410"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've escalated the product returns matter to our specialist team."", ""timestamp"": ""2025-01-16 04:18:21.424626"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-16 04:21:16.744179"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-16 04:24:14.199903"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""refund""], ""channel"": ""chat"", ""resolution_time_minutes"": 1104.2}",32,yes,deterministic,boundary,"{""threshold"": 19, ""unit"": ""hrs"", ""operator"": ""<=""}",1083.0,
Examine if the response was sent before the 26 hours limit.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: API access is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Let me review your API access situation."", ""timestamp"": ""2025-01-15 23:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Applied workaround. Permanent fix in next release."", ""timestamp"": ""2025-01-15 23:00:20"", ""is_public"": false, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 23:04:38.276238"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've escalated the API access matter to our specialist team."", ""timestamp"": ""2025-01-15 23:07:32.489618"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 23:11:01.499552"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the API access issue."", ""timestamp"": ""2025-01-15 23:14:25.041957"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 23:15:44.108794"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""billing"", ""refund"", ""technical""], ""channel"": ""email"", ""resolution_time_minutes"": 795.7}",33,yes,deterministic,clear_yes,"{""threshold"": 26, ""unit"": ""hours"", ""operator"": ""<=""}",780.0,
Was the customer kept waiting beyond 30 seconds?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: password reset is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with password reset. Let me investigate."", ""timestamp"": ""2025-01-15 10:01:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:05:15.425947"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""The password reset issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:05:50.659435"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:06:34.722549"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding password reset."", ""timestamp"": ""2025-01-15 10:08:05.262534"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:12:06.195457"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""technical"", ""refund""], ""channel"": ""email"", ""resolution_time_minutes"": 12.1}",34,yes,deterministic,clear_no,"{""threshold"": 30, ""unit"": ""seconds"", ""operator"": "">""}",1.0,
Did the customer need to wait past 22 sec for acknowledgment?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with data export."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on data export right away."", ""timestamp"": ""2025-01-15 10:00:11"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:05:01.474609"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the data export settings."", ""timestamp"": ""2025-01-15 10:08:07.719487"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:11:13.184604"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the data export issue."", ""timestamp"": ""2025-01-15 10:13:30.281303"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:14:20.800352"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""feature_request""], ""channel"": ""email"", ""resolution_time_minutes"": 14.3}",36,no,deterministic,clear_yes,"{""threshold"": 22, ""unit"": ""sec"", ""operator"": "">""}",0.18,
