idx,prompt,category,ground_truth,ground_truth_source,scenario,system_a_binary_answer,system_a_binary_tokens,system_a_binary_latency_ms,system_a_binary_correct,system_a_reject_answer,system_a_reject_tokens,system_a_reject_latency_ms,system_a_reject_correct,gt_tokens,conversation_json,params
10,Ascertain whether 15 sec was exceeded.,SYMBOLIC_TIME,no,deterministic,clear_no,no,252,0.0,1,yes,390,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 the mobile app crash hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on the mobile app crash."", ""timestamp"": ""2025-01-15 10:00:30"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:05:28.690326"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""The the mobile app crash issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:07:39.513862"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:10:11.415120"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:11:42.083401"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""bug"", ""feature_request""], ""channel"": ""phone"", ""resolution_time_minutes"": 11.7}","{""threshold"": 15, ""unit"": ""sec""}"
11,Did the representative respond in less than 300 hours?,SYMBOLIC_TIME,yes,deterministic,boundary,yes,189,0.0,1,yes,327,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hi, I need help with the billing charge."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on the billing charge right away."", ""timestamp"": ""2025-01-27 07:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-27 07:00:48.198089"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-27 07:05:10.299647"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""billing""], ""channel"": ""chat"", ""resolution_time_minutes"": 17105.2}","{""threshold"": 300, ""unit"": ""hours""}"
12,Flag slow initial responses.,SYMBOLIC_TIME,yes,deterministic,clear_yes,no,359,0.0,0,no,497,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""We've noticed an issue with the mobile app crash recently."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on the mobile app crash right away."", ""timestamp"": ""2025-01-15 23:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Applied workaround. Permanent fix in next release."", ""timestamp"": ""2025-01-15 23:01:00"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 23:04:08.024189"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've escalated the the mobile app crash matter to our specialist team."", ""timestamp"": ""2025-01-15 23:05:03.492154"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 23:07:24.489769"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding the mobile app crash."", ""timestamp"": ""2025-01-15 23:11:11.340248"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 23:11:39.340248"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 23:15:17.500226"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 23:16:54.637436"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""bug"", ""vip""], ""channel"": ""phone"", ""resolution_time_minutes"": 796.9}","{""threshold"": 26, ""unit"": ""hrs""}"
13,Was there an answer from the agent within 24 hours?,SYMBOLIC_TIME,no,deterministic,clear_no,yes,220,0.0,0,yes,358,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with the integration setup."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I understand, let me look into the integration setup for you."", ""timestamp"": ""2025-01-17 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-17 10:03:26.079121"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding the integration setup."", ""timestamp"": ""2025-01-17 10:07:41.806569"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-17 10:12:21.925654"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""complaint"", ""urgent"", ""feedback""], ""channel"": ""email"", ""resolution_time_minutes"": 2892.4}","{""threshold"": 24, ""unit"": ""hours""}"
14,Was the delay between customer message and agent reply under 20 hrs?,SYMBOLIC_TIME,yes,deterministic,boundary,no,257,0.0,0,yes,395,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: a shipping delay is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I understand, let me look into a shipping delay for you."", ""timestamp"": ""2025-01-16 05:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-16 05:00:34"", ""is_public"": false, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-16 05:04:40.159880"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've escalated the a shipping delay matter to our specialist team."", ""timestamp"": ""2025-01-16 05:07:13.012139"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-16 05:11:00.248575"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""complaint"", ""refund"", ""billing""], ""channel"": ""email"", ""resolution_time_minutes"": 1151.0}","{""threshold"": 20, ""unit"": ""hrs""}"
15,Identify delays in agent response.,SYMBOLIC_TIME,yes,deterministic,clear_yes,yes,284,0.0,1,yes,422,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Can someone help me with password reset?"", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I understand, let me look into password reset for you."", ""timestamp"": ""2025-01-15 20:30:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 20:33:06.378679"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the password reset settings."", ""timestamp"": ""2025-01-15 20:33:52.837223"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 20:34:38.271847"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""The password reset issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 20:37:17.004747"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 20:38:29.511584"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 20:39:21.141680"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""complaint""], ""channel"": ""email"", ""resolution_time_minutes"": 639.4}","{""threshold"": 21, ""unit"": ""hours""}"
16,Was the query addressed within 26 sec?,SYMBOLIC_TIME,no,deterministic,clear_no,no,189,0.0,1,yes,327,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Can someone help me with the billing charge?"", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I see the issue with the billing charge. Here's what I can do."", ""timestamp"": ""2025-01-15 10:00:52"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:04:02.520171"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:04:54.655690"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""refund""], ""channel"": ""phone"", ""resolution_time_minutes"": 4.9}","{""threshold"": 26, ""unit"": ""sec""}"
17,pinpoint responses that came after 21 sec.,SYMBOLIC_TIME,yes,deterministic,boundary,yes,269,0.0,1,yes,407,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to product returns but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your product returns situation."", ""timestamp"": ""2025-01-15 10:00:19.950000"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 10:01:10.950000"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:02:53.400635"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding product returns."", ""timestamp"": ""2025-01-15 10:07:36.048893"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:12:35.631592"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 10:13:25.411987"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""escalated""], ""channel"": ""phone"", ""resolution_time_minutes"": 13.4}","{""threshold"": 21, ""unit"": ""sec""}"
18,Measure whether the first response took less than 120 hours.,SYMBOLIC_TIME,yes,deterministic,clear_yes,no,219,0.0,0,no,357,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to password reset but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on password reset."", ""timestamp"": ""2025-01-17 22:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-17 22:04:15.111138"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""The password reset issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-17 22:06:06.790767"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-17 22:06:38.903006"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""technical""], ""channel"": ""chat"", ""resolution_time_minutes"": 3606.6}","{""threshold"": 120, ""unit"": ""hours""}"
19,Was the customer's message acknowledged w/in 18 min?,SYMBOLIC_TIME,no,deterministic,clear_no,yes,405,0.0,0,yes,543,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 a shipping delay hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I understand, let me look into a shipping delay for you."", ""timestamp"": ""2025-01-15 10:36:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 10:36:16"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:37:11.970936"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the a shipping delay settings."", ""timestamp"": ""2025-01-15 10:40:25.274989"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 10:40:50.274989"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:43:11.735435"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding a shipping delay."", ""timestamp"": ""2025-01-15 10:47:46.176288"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 10:48:04.176288"", ""is_public"": false, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:48:28.079714"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:52:26.281904"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 10:52:45.281904"", ""is_public"": false, ""channel"": ""phone""}], ""tags"": [], ""channel"": ""phone"", ""resolution_time_minutes"": 52.4}","{""threshold"": 18, ""unit"": ""min""}"
