id,prompt,annotator_category,annotator_confidence,notes
42,Check the first two lines: does the agent acknowledge the delay and reassure the customer they’ll help troubleshoot?,,,
43,Is this a web form ticket?,,,
44,Detect whether the agent wrapped things up by confirming ticket/escalation details and expected timelines.,,,
45,Did the support rep answer within the 90 sec window...,,,
46,Watch for reply times over 22 min.,,,
47,"When a return is resolved in a single response under 5 minutes, assess whether the agent’s response indicates correct understanding of the customer’s complaint about the product.",,,
48,Was there a response within 60 minutes?,,,
49,Is 'urgent' applied to this ticket,,,
50,"If customer already tried troubleshooting, did agent stop repeating basics and give next step options?",,,
51,Detect resolution delays from excessive exchanges.,,,
52,"Check whether, before giving the resolution, the agent recognized the customer got a data breach notice and accepted responsibility for assisting.",,,
53,"For urgent product return tickets, determine whether the greeting was concise yet warm, not rushed or robotic.",,,
54,Any non-public messages from the agent?,,,
55,Verify agent didn’t skip the initial acknowledgment of the breach notice when providing the resolution; they should identify self and own the issue.,,,
56,Verify the customer's account balance in third-party system.,,,
57,Did the agent both respond within 30 minutes and address the core issue?,,,
58,Was the issue resolved without unnecessary exchanges?,,,
59,Detect if 'feature-request' label exists.,,,
60,Verify ticket has 'duplicate' status.,,,
61,Was the delay between customer message and agent reply under 25 sec?,,,
62,"Did the agent provide a final check-in after the password reset solution, or did they just drop off",,,
63,"If the customer waited more than 15 minutes, did the agent acknowledge the delay?",,,
64,Was there an unreasonable delay before the first response?,,,
65,Did the customer contact support again within 7 days about the same problem?,,,
66,"If the agent takes more than 2 messages to acknowledge the cancellation request, assess whether their wording still felt courteous and attentive.",,,
67,Assess handling appropriateness for 'escalated' cases.,,,
68,Measure whether the 23 minutes SLA was breached.,,,
69,"For account security issues that required 5+ back-and-forth turns to confirm identity, evaluate whether the agent stayed polite and reassuring rather than cold.",,,
70,"If the return was resolved within 8 hours, did the agent correctly understand the customer’s question about fees, restocking, or refund amount?",,,
71,"Detect whether the agent properly concluded the interaction after listening actively and handling the escalation request for a locked account, including summarizing what will happen next and asking if anything else is needed, without leaving the customer hanging.",,,
72,Did the customer’s NPS for the month increase after this case?,,,
73,"If the customer claims they were double-charged on chat, judge whether the agent’s troubleshooting steps were competent and led toward verification or correction.",,,
74,is this marked as 'pending'?,,,
75,Evaluate based on the customer's past support ticket interactions across 20 tickets.,,,
76,Was the reply timely?,,,
77,Flag drawn-out conversations...,,,
78,Was the message count above 2?,,,
79,Assess whether the 11 seconds threshold was met.,,,
80,Was the back-and-forth minimal?,,,
81,Did the customer have to wait more than 9 seconds for a reply?,,,
82,Does the ticket have the 'refund' label?,,,
83,calculate the impact of this conversation on support ticket over next billing cycle.,,,
84,Check for internal comments.,,,
85,Did the agent's response arrive in under 300 minutes?,,,
86,Did more than 16 replies get sent by the agent?,,,
87,Check if more than 17 turns occurred.,,,
88,Watch for turn counts above 4.,,,
89,Is this a repeat subscription complaint from the same customer?,,,
90,Did the agent keep the exchange short?,,,
91,Confirm 'onboarding' is present.,,,
92,"Did the agent confirm escalation request and next steps, or left user stuck? kinda vague",,,
93,Check the customer's complete escalation pattern from third-party system.,,,
94,Check if more than 2 turns occurred.,,,
95,Is the 'pending' tag present on this ticket?,,,
96,Predict leave negative feedback likelihood based on this refund interaction.,,,
97,"Did the agent clearly acknowledge the customer’s situation (locked account) and escalation request, then summarize it back to them before initiating the escalation, with no vague statements or missing confirmations?",,,
98,check if agent started troubleshooting without recognizing the passenger's stress about the delay,,,
99,Check the customer's complete return trend from the app.,,,
100,Verify that phone best practices were followed.,,,
101,Flag if the conversation exceeded 17 messages.,,,
102,Verify agent recognized outage impact and didn’t rush escalation.,,,
103,"For chat sessions where the customer asks for a manager, evaluate whether the agent handled the request professionally and attempted a helpful resolution first.",,,
104,Did the agent acknowledge the delay and confirm the customer wants an update before taking action?,,,
105,What does external database show for this customer's contact preferences?,,,
106,Flag if customer waited more than 5 hours.,,,
107,pinpoint responses that came after 25 seconds.,,,
108,Determine if this escalation interaction changes the customer's loyalty points.,,,
109,Flag tickets marked 'pending'.,,,
110,Monitor whether the 16 minutes benchmark was hit.,,,
111,Was the customer kept waiting beyond 7 seconds?,,,
112,Did the customer hit their usage limit again after the agent’s fix?,,,
113,Did the agent take ownership for the data breach situation in their closing message?,,,
114,Is this a email conversation?,,,
115,Has this been flagged as 'duplicate'?,,,
116,Was there a follow-up usage complaint after this ticket was closed?,,,
117,"If internal notes exist, assess whether the agent’s closing avoided blame and still offered ongoing support.",,,
118,Inspect if the first reply came under 8 min.,,,
119,monitor for exchanges going beyond 2 messages.,,,
120,Did the customer renew after this interaction?,,,
